标题,时间,内容
节约水用好水，人人有责,2023年05月15日15:39,5月14日至20日，是2023年全国城市节约用水宣传周，主题为“推进城市节水，建设宜居城市”。水是生命之源、生产之要、生态之基。珍惜水、节约水、用好水，是关系自然资源保护和经济社会健康持续发展的大事。尤其是城市日常用水，更是节约用水的重点之一。《“十四五”节水型社会建设规划》中明确，到2025年，基本补齐节约用水基础设施短板和监管能力弱项，节水型社会建设取得显著成效。节约用水，是每一个人的责任。水作为人们每天工作、生产和生活的必须要素，在个人生产生活和社会运转体系中，承担着至关重要的角色。此次《指导意见》中提出，要“完整、准确、全面贯彻新发展理念，坚持和落实节水优先方针，发挥政府主导作用，凝聚社会各方力量，多形式多层次开展节水宣传教育”。从思想上、认识上提升节水意识，引导每个人都争做节约用水的示范者，构筑起全社会节约用水的一道基础堤坝。加大全社会节水宣传教育，逐渐构建起人人参与、共建共享的节水护水良好氛围，节约用水就一定会事半功倍。节约用水，更要提高水资源的利用效率，珍惜水，用好水。数据显示，2022年，城市人均综合用水量为每人每天330升，在生活水平不断提高的同时，较10年前降低了5.5%。近年来，各地大力推进城市节水，全国已建成145个国家节水型城市。实践积累的经验表明，提高效率用好水，是节约用水的重中之重。要通过建立用水总量控制机制，补齐用水基础设施短板，推广节水节能科技，推进城市供水管网漏损治理等方式，综合施策，久久为功，提升水资源的利用效率，实现水资源可持续利用。节约用水，用好水，还要严监管、多联动，用科学的手段约束和涵养节水。《指导意见》强调，要建立协调联动机制，发挥节约用水协调机制作用，使节水宣传教育有效覆盖各用水行业和领域；健全公众参与机制，加强节水政务信息公开，拓宽公众参与途径，等等。从节水用水的协调联动、宣传教育、公众参与等多个层面入手，盯紧重点行业和领域，将有利于使节水宣传教育融入群众日常学习、生产和生活，逐步建立起节约水、用好水的常态长效机制。珍惜水、节约水、用好水，既是保护宝贵的自然资源，更是保护全社会的生态环境，是利在当代，功在千秋的大事要事。无论是政府相关部门，还是城市管理者，抑或是每一个人，都要清醒认识，积极行动，从细节从日常从自觉开始，落实践行保护和节约水资源的责任。
高标准高质量推进雄安新区建设,2023年05月13日09:30,“雄安新区已进入大规模建设与承接北京非首都功能疏解并重阶段，工作重心已转向高质量建设、高水平管理、高质量疏解发展并举。”日前，习近平总书记在河北省雄安新区考察，主持召开高标准高质量推进雄安新区建设座谈会并发表重要讲话，为绘写高质量的城市发展现实画卷，为高标准高质量推进雄安新区建设提供了根本遵循。设立河北雄安新区，是以习近平同志为核心的党中央深入推进京津冀协同发展作出的一项重大决策部署，是千年大计、国家大事。新区建设和发展顶层设计基本完成，基础设施建设取得重大进展，疏解北京非首都功能初见成效，白洋淀生态环境治理成效明显，深化改革开放取得积极进展，产业和创新要素聚集的条件逐步完善，回迁安置工作有序推进……6年来，雄安新区从无到有、从蓝图到实景，一座高水平现代化城市正在拔地而起，堪称奇迹。实践证明，党中央关于建设雄安新区的重大决策是完全正确的，各方面工作是扎实有效的。雄安新区不同于一般意义上的新区，其定位首先是疏解北京非首都功能集中承载地，重点承接北京疏解出的行政事业单位、总部企业、金融机构、高等院校、科研院所等。当前，雄安新区进入大规模建设与承接北京非首都功能疏解并重阶段，一幅高质量发展的美好画卷徐徐展开。这意味着，必须扎实推动疏解北京非首都功能各项任务落实，继续完善疏解激励约束政策体系，坚持市场机制和政府引导相结合，项目和政策两手抓，通过市场化、法治化手段，增强非首都功能向外疏解的内生动力。高标准高质量推进雄安新区建设，最根本最关键的是要把习近平总书记重要指示和党中央决策部署学习领会好、贯彻落实好。必须完整、准确、全面贯彻落实党中央关于建设雄安新区的战略部署，深刻领悟党中央决策的重大现实意义和深远历史意义，牢牢把握党中央关于雄安新区的功能定位、使命任务和原则要求。要处理好近期目标和中远期目标、城市建设速度和人口聚集规模、产业转移和产业升级、政府和市场、承接北京非首都功能疏解和城市自身发展、城市建设和周边乡村振兴等重大关系，确保雄安新区建设和发展的正确方向。唯有保持“千年大计”的定力、“只争朝夕”的干劲，稳扎稳打、久久为功，不等不拖、紧张快干，充分发挥各方面积极性，才能更好推动各项工作不断取得新进展。把科技创新作为雄安新区高质量建设和发展的根本。习近平总书记强调：“要全面落实创新驱动发展战略，推动各领域改革开放前沿政策措施和具有前瞻性的创新试点示范项目在雄安落地，努力建设新功能、形成新形象、发展新产业、聚集新人才、构建新机制，使雄安新区成为新时代的创新高地和创业热土。”这就需要着力打造自主创新和原始创新重要策源地，搭建一流创新平台，开展高水平科技创新；着力推动创新链产业链深度融合，围绕产业链部署创新链，加大科技成果转化力度，促进高新技术产业发展；着力建设京津冀协同创新共同体，创新利益分享模式，吸纳和集聚更多创新要素资源参与推动雄安新区高质量发展。广泛运用先进科学技术，着力加强科技创新能力建设，加大科技成果转化力度，必定能把智能、绿色、创新打造成为雄安新区的亮丽名片。蹄疾步稳向前行，未来之城日日新。新征程上，坚持一张蓝图绘到底，一茬接着一茬干，继续统筹谋划、扎实推进，踏实努力、久久为功，真正把高标准的城市规划蓝图变为高质量的城市发展现实画卷，不断谱写高质量发展新篇章。
高压正风肃纪反腐，让医疗更“干净”,2023年05月12日18:16,国家卫健委等14个部门日前联合印发《2023年纠正医药购销领域和医疗服务中不正之风工作要点》，要求健全完善行风治理体系，重点整治医药领域突出腐败问题。这是纠正医药购销领域和医疗服务中不正之风部际联席工作机制成员单位进行调整后，首次对纠风工作进行部署。医疗卫生事业关乎人民群众的民生福祉，也牵涉千家万户的切身利益。腐败问题和不正之风，发生在医疗医药领域，对病患个体利益和社会公共利益的侵蚀，危害效应更大。从这个角度来说，此次14个部门联合发文，重点整治医药领域突出腐败问题与行业管理中的不正之风问题，及时且必要。诸如切实推进全行业“受贿行贿一起查”，整治“带金销售”等问题，对医美、口腔、辅助生殖等重点领域提升查处力度等，有利于纠风肃纪反腐，正本清源，维护好广大患者和全社会的利益。长期以来，看病就医领域，就是群众诉求和期待较多的重点领域之一。这背后，纵然有医疗卫生事业本身的特殊性，也与医疗医药领域存在的不正之风和腐败乱象相关。由于医疗领域的专业性和“封闭性”，一些腐败乱象和不正之风，具备了某些“隐身”和“变异”的能力。从媒体报道可知，在一些地方，医药购销领域不乏灰色链条甚至是腐败行为。一些医护也大言不惭，收受患者及家属“红包”，与“医药代表”之间勾肩搭背，违法违规牟取个人利益……一系列腐败行为和不正之风，不仅败坏了医疗医药行业的口碑与形象，更让患者和家属深恶痛绝，污浊了社会风气。正因为如此，国家近年来持续加大对医药购销领域和医疗服务中不正之风的整顿力度。2021年11月，国家卫健委等多部门发布了《医疗机构工作人员廉洁从业九项准则》。2022年6月，九部委印发纠正医药购销领域和医疗服务中不正之风的工作要点。文件要求，深入开展医疗领域乱象治理，惩治“红包”、回扣等行风问题。此次在提出深入治理医疗领域乱象时，也明确要严格落实《医疗机构工作人员廉洁从业九项准则》，持续推进《全国医疗机构及其工作人员廉洁从业行动计划（2021-2024年）》。据人民日报健康客户端不完全统计，截至4月7日，2023年已有46位医院党委书记、院长被查，另有数十家医院或定点零售药店因违规违法使用医保基金被罚。医疗医药领域持续纠风肃纪反腐，正本清源，是对国家和全社会高度负责的体现。一方面，要细化规矩，树好行业和领域的“红线”、高压线，逐步压缩滋生不正之风和腐败行为的土壤空间；另一方面，更重要的是要健全完善新时代纠风工作体系，通过源头治理、预防和惩处并举等手段，让相关主体不敢腐、不能腐、不想腐。除此之外，也要畅通全社会的举报投诉渠道，让那些见不得光的交易和腐败行为及时现形，“暴晒”惩处。持续高压纠风肃纪反腐，医疗领域才能“干净”清廉，才能逐渐回归“治病救人”的初心。这既是广大患者之福，也有利于为医护实现自我职业价值扫除干扰，更是推动医疗卫生体制改革向纵深发展的重要一步。
提升防灾减灾合力，护航高质量发展,2023年05月12日07:35,5月12日是我国第15个全国防灾减灾日，主题是“防范灾害风险护航高质量发展”，5月6日至12日为防灾减灾宣传周。国家减灾委员会办公室、应急管理部提前部署各地组织开展防灾减灾科普宣传和应急演练，筑牢防灾减灾救灾的人民防线。我国幅员辽阔，是世界上自然灾害最为严重的国家之一，地震、洪涝、泥石流等严重威胁人民群众生命和财产安全。大力提升灾害防御应对能力，既是防范化解重大风险的重要举措，又是党和政府始终坚持“人民至上，生命至上”的具体体现，更是推进国家治理体系和治理能力现代化的必然实践。提高社会综合避灾救灾能力，最大限度减轻灾害带来的各项损失，将为经济社会平稳健康发展创造有利条件。防灾减灾重在“未雨绸缪”。防灾减灾宣传周期间，各地结合本地区灾害风险特点，针对性开展科普宣传活动。湖北省组织中小学生赴应急安全教育实践基地，参加自然灾害、消防安全、交通安全等主题活动；山西省开展专家技术服务进社区活动，举办防灾减灾救灾和应急救援技能专题讲座；新疆维吾尔自治区持续开展“防灾减灾基层行”活动，推进安全风险网格化管理……防灾减灾宣传教育立足群众广泛参与，多形式、多渠道、多层面开展，进学校、进社区、进企业，针对性进行相关科普培训，不断提高广大群众的灾害风险识别和自救互救能力。防灾减灾更要“防患于未然”。推动风险治理向事前预防转变，要利用好第一次全国自然灾害综合风险普查成果。历时近三年的普查，基本摸清了全国自然灾害风险隐患底数，使我们更清晰地认识到防灾减灾中的不足，以便“对症下药”。比如，江西省利用水旱灾害普查成果建设省级监测预警平台“四预”功能提升项目、编制防旱抗旱能力提升实施方案；福建省构建沿海地区“台风－暴雨－洪涝”灾害链、内陆地区“暴雨－洪涝－地灾”灾害链临灾风险快速评估模型并推进实战应用……各地强化对普查数据的分析应用，对重点灾害隐患进行科学评估、制定系统性应对预案、形成防灾减灾治理的新机制。在实践中积累经验，不断完善防灾措施，努力从源头上防范化解风险，将有效提升防灾减灾效果。备豫不虞，为国常道。党的二十大报告明确要求，提高防灾减灾救灾和重大突发公共事件处置保障能力，加强国家区域应急力量建设。在防灾减灾的顶层设计上，要坚定不移贯彻总体国家安全观，推动构建大安全大应急框架。各地要加快应急平台互联互通建设，建立健全上下联动、统一指挥、综合协调的工作格局。在强化专业防灾救援力量的同时，也要加强全民防灾减灾素质教育，整合多方资源和力量投入防灾减灾救灾工作。推动应急管理共建、共治、共享，形成处置灾害的整体合力，必将以新安全格局保障新发展格局。
铲除“靠粮吃粮”的腐败土壤,2023年05月11日13:01,近日，最高检印发《关于检察机关积极参与粮食购销领域腐败问题专项整治工作的通知》（以下简称《通知》），决定自今年5月至12月组织全国检察机关参与粮食购销领域腐败问题专项整治工作，加强与监察机关等部门配合，依法惩治涉粮领域职务犯罪，巩固粮食购销领域腐败问题专项整治工作成果。粮食安全是国家安全的重要基础，粮食购销是保障粮食安全的关键环节。从2021年8月至今，中央纪委国家监委网站已通报各地查处的百余起粮食购销领域腐败问题典型案例，到此次《通知》下发，粮食购销领域决不容许任何“硕鼠”“蛀虫”。近年来，各相关部门通过持续开展粮食购销领域腐败问题专项整治工作，纠治了一批突出问题，查处了一批典型案件，推动完善了一批监管制度。但也要清醒认识到，由于粮食购销领域存在点多、线长、面广、监管不易等特点，一些乱象难以被及时察觉，整治粮食购销领域腐败问题，任重道远。解决粮食购销领域腐败问题，纠治“靠粮吃粮”，重在“惩”。要始终坚持严的基调，持续加大查办案件力度，打出声势气势，形成高压氛围。对涉粮问题线索做到应查尽查、一查到底，从严从重处罚，保持零容忍震慑不变、高压惩治力量常在。及时组织对涉粮问题线索进行起底和“回头看”，及时通报涉粮食问题重大典型案例，让干部警醒、知止，保持强大震慑。解决粮食购销领域腐败问题，核心在“治”和“改”。这意味着，一方面，各地各部门要紧盯粮食收购、储存、销售等重点环节，聚焦主管监管部门重要岗位、粮食企业领导班子以及经营管理关键岗位的重点人员，着力发现内外勾结、权钱交易、输送利益等问题。另一方面，各部门之间要进一步加强协同推进，形成合力，深入查找制度短板漏洞、管理监管缺陷等，强化粮食收购、储存、运输、加工等各环节的公开透明程度，提升粮食领域管理的规范化、信息化、数字化水平，对粮食购销领域各个环节实行有效监督。全面铲除“靠粮吃粮”的腐败土壤，需要各相关部门攥指成拳，不折不扣地落实责任，做到真管真严、敢管敢严、长管长严，一体谋划和推动以案促改、促治，共同守护好大国粮仓。
为中国式现代化提供高技能人才支撑,2023年05月11日12:58,近日，第十六届高技能人才表彰大会在北京举行，表彰30名中华技能大奖获得者和295名全国技术能手。作为选树褒奖优秀高技能人才的最高政府奖项，中华技能大奖和全国技术能手的颁授，对激发广大技能人才的积极性、主动性、创造性，推动全社会形成尊重技能人才的时代风尚，具有重要而深远影响。一个榜样就是一个标杆，一个典型就是一面旗帜。从完成300余项研制任务攻关的技能带头人，到能把零部件加工精度控制在0.002毫米的技能专家，再到获得国家专利50项、主导制定国家标准2项的示范性劳模，受到表彰的中华技能大奖获得者和全国技术能手，是践行技能成才、矢志技能报国的先进典型，是全国技能劳动者的先进代表。他们的成长历程表明，立足本职、钻研技术、苦练技能，平凡的岗位也能成就不平凡的事业。广大技能劳动者以先进典型为模范，刻苦钻研技术、无私奉献创造，一定能在岗位成才、技能成才的道路上大放光彩。技能改变个人命运，技能破解发展难题，技能成就制造强国，新时代是重视技能、崇尚技能的时代。党的十八大以来，我国技能人才培养工作取得长足进展，目前全国高技能人才已超过6000万人，占技能劳动者的30%。技能人才队伍不断充实，为我国高质量发展提供了澎湃动力。踏上强国建设、民族复兴的新征程，坚持教育优先发展、科技自立自强、人才引领驱动，加快建设教育强国、科技强国、人才强国，呼唤更多高技能人才和大国工匠脱颖而出，为推进中国式现代化提供有力人才保障。教育是根本。近年来，我国大力发展职业教育，健全技工教育政策体系。截至2022年底，全国共有技工院校2551所，在校生445万人，在校生规模和开展职业培训规模创历史新高。下一步，还需要创新各层次各类型职业教育模式，科学设计技工教学内容，为各类技能人才加快成长创造良好条件。企业是主体。各类企业应立足提高自身竞争力和自主创新能力，提高技能人才待遇水平，畅通技能人才职业发展通道。培训也至关重要。从面向新生代农民工推出职业技能提升计划，到对离校未就业高校毕业生实施百万青年技能培训行动，强化职业技能培训，不仅有助于推动解决结构性就业矛盾，也能不断提高劳动者素质，壮大产业工人队伍。良禽择木而栖，良驹期乎千里。建设一支高技能人才队伍，必须围绕技能人才培养、使用、评价、激励等全链条各环节完善制度、搭建平台。2022年10月，中办、国办印发《关于加强新时代高技能人才队伍建设的意见》，就加大高技能人才培养力度、完善技能导向的使用制度、建立技能人才职业技能等级制度和多元化评价机制、建立高技能人才表彰激励机制等方面作出部署。这一重大改革，为数亿技能人才擘画光明前景和美好未来。继续把这些举措落细落实，才能营造出有利于技能人才脱颖而出的良好环境。技能是强国之基、立业之本。放眼世界，高技能人才是赢得国际竞争主动的重要战略资源。在2022年世界技能大赛特别赛中，中国代表团在仅参加半数左右项目的情况下，获得金牌榜和团体总分世界第一。更多大国工匠、能工巧匠涌现出来，必将缔造更多中国制造、中国发展的传奇。
这家企业沦为境外情报机构帮凶，无法被谅解！,2023年05月10日08:55,这家公司沦为境外情报机构帮凶！据报道，近期，国家安全机关会同相关部门，对国内咨询行业龙头企业凯盛融英信息科技股份有限公司进行公开执法。调查显示，凯盛融英公司大量接受境外公司对我敏感行业的咨询项目，其中一些企业与外国政府、军方、情报机关关系密切。打着提供咨询的幌子，却替境外情报机构干活，这家知名企业令人不齿。凯盛融英公司在其官网上称，为大型知名金融机构、咨询公司及跨国企业提供快速、精准、高效的专家知识共享服务。而从相关部门披露的案情看，其业务范围颇广，甚至“大量接受境外公司对我敏感行业的咨询项目”，这就不可容忍了。从正常逻辑看，身为国内咨询行业龙头企业，凯盛融英公司更该具有底线意识和风险意识，更该严格遵守相关法律，而不是在危险道路上疾驰。据介绍，在凯盛融英公司，有着庞大的专家数据库，库里的专家数超过30万人。如果不严守红线，这其中将有多少风险点？稍加一想便觉不寒而栗。从公开的信息看，该企业所涉问题不少，触目惊心，令人惊愕。比如，其库里专家韩某某明确表示，咨询过程中，涉及产品的成本、产品的利润率、产品的总利润，因涉及商业秘密他不愿意提供。但是，该企业却以利相诱，“可以额外支付两倍的咨询费用。”在韩某某做咨询的过程中，凯盛融英的工作人员不仅没有提醒专家注意保密，反而在客户有不正当要求时，为了促成咨询协助客户说服专家泄密。在凯盛融英内部，通过提高报酬利诱专家回答敏感问题只是这家公司其中的一个手段。据介绍，凯盛融英公司为满足客户需求，还在公司内部群发邮件，发动大家围绕军工企业、涉密科研单位，多打电话，联系游说掌握相关内部情况的专家接受咨询。如此种种，凯盛融英公司干的不止是牵线搭桥的活，而是直接成为境外情报机构帮凶。如此行为，可恶！更可怕的是，该企业为了逐利，缺少应有的底线意识，而是明知涉嫌违法犯罪也要想法规避。比如，对于部分工作单位要求不宜接受咨询的专家，让他们起“化名”接受咨询，使用其他人员的银行账户接受报酬。如此消费专家，如此出卖国家利益，已经涉嫌违法犯罪，不可宽宥。应该说，涉事专家为利所俘获，向境外泄露军事军工领域敏感信息，涉嫌为境外非法提供国家秘密罪；还有的涉事专家，为境外窃取、刺探、非法提供国家秘密、情报罪，都是罪有应得。但是，凯盛融英公司难辞其咎，在其中扮演的角色极不光彩，涉事人员应承担该有的法律责任。近期，国家安全机关已经对涉事企业依法依规进行处理，对其中涉嫌违法犯罪的人员，将一查到底，追查其法律责任。毋庸讳言，一些境外机构借助国内咨询公司等行业，窃取我国重点领域国家秘密和情报，这是不争的事实；一些咨询企业精心物色挑选、利诱诓骗重点领域敏感行业专家学者，向境外机构提供内部涉密情况，这也是不争的事实。对此，国家一向零容忍，无论涉及到谁，涉及到哪家企业，都不会也不能容其乱来。国家安全是民族复兴的根基，事关国家根本利益和人民福祉。维护国家安全，人人有责。透视此起事件，维护国家安全，要盯紧相关人员，也要盯紧见利忘法的企业。对于专家学者来说，则接受咨询时，一定履行安全保密义务，而不能被所谓的咨询公司所利用。
“12345”与“110”高效联动 方便群众见实效,2023年05月09日16:06,正准备开车发现被其他车辆堵住了路，而对方车上又没有挪车电话时，你会怎么办？多数人会选择拨打12345政务服务便民热线。去年，仅江西一省12345热线受理的挪车电话就超20万起。在“有困难找警察”观念的影响下，可能有人会拨打110报警电话寻求挪车。没关系，这些电话也可被转接至12345热线。这背后，得益于110报警服务台与12345政务服务便民热线等平台高效对接联动机制的不断健全完善。“110”和“12345”，这两串人们日常生活中再熟悉不过的数字，是遇到困难、寻求帮助十分便捷、可靠的渠道。但此前一段时间，二者未能实现互联互通，导致非紧急、非警务类报警求助拨打110无法第一时间得到专业职能部门的有效处置，还可能挤占公安机关有限的警力资源。提升12345接办质效，提升110接处警工作效能；接到明确属于对方受理范围内的事项，以一键转接方式及时转交对方受理；建立健全日常联动机制、应急联动机制、会商交流机制……一系列安排不仅有助于110依法打击违法犯罪活动、及时处置紧急危难警情、更好维护社会治安秩序，也有利于12345推动部门协同高效履职、及时解决涉及政府管理和服务的非紧急诉求。从这个意义上说，“110”与“12345”等平台的对接联动，并不是简单的相加，而是涉及平台融合互通、数据共享应用等的深层次变革。二者的高效对接、协同服务，让110报警电话守护人民群众安全“生命线”的作用得到更好发挥，也让12345热线听民声、纾民困、聚民意的桥梁纽带价值进一步彰显，在一次次为群众排忧解难中提升了社会善治水平。还应认识到，增进对“110”与“12345”职能分工的知晓度，正确使用110报警服务和12345政务服务便民热线，同样是二者高效联通的题中应有之义。与12345受理企业和群众对政府管理和服务的非紧急诉求相区别，110是公安机关受理处置企业和群众报警、紧急求助和警务投诉的报警服务平台。按照110受理范围正确合理使用拨打110，形成“危难找警察、服务找政府”的社会共识，才能从源头上解决大量警务资源被占用的情况，进一步提升110平台打击犯罪、服务群众的能力水平。各安其位、互联互通，让警务处置更高效、让便民服务更完善，社会的和谐稳定、人民的幸福安康就蕴藏其中。
闻“汛”而动，共护美好家园,2023年05月09日13:37,5月7日，国家防总办公室、应急管理部组织防汛专题视频会商调度，研判当前汛情和发展趋势，部署重点地区防汛抢险救灾工作。充分认识防汛工作的复杂性和严峻性，抓实抓细相关工作，定能平稳安全度汛。备豫不虞，为国常道。目前，我国南方已经全面入汛，本轮降雨覆盖范围广、强度大，局地发生较重汛情灾情险情，接下来强降雨可能持续多发，江河底水会继续上涨，防汛形势进一步趋紧。险情就是命令。有关部门必须进一步提高认识，全面进入应急状态，坚决克服麻痹思想，全力防范化解重大洪涝灾害风险。防汛救灾是一场大考，必须将预防预备和应急处突结合起来。其中，超前部署是基础，做好隐患排查、预置物资、模拟演练等准备，力争早发现、早处理，才能把问题解决在萌芽状态；预报预警是前提，加强信息报送，及时报告险情灾情，确保首报要快、续报要准、终报要全，才能为决策和救援争取更多时间；及时处置是关键，科学高效专业应对，尽快完成抢险任务，与时间赛跑、为生命护航，才能最大程度减小人身伤害及财产损失。着眼事前事中事后环节开展工作，防汛救灾就能更加有力有序有效。防汛救灾是一场战斗，必须将技防和人防结合起来。科技是抵御自然灾害的有力武器。充分利用科技手段，可以及早知悉防洪风险隐患，快速获取汛情灾情险情信息，有效弥补人力不足，大大提升工作效率。也要看到，再先进的技防手段都离不开有力的人防措施。如何针对薄弱地区、险工险段等关键部位部署抢险救援力量？如何做好灾后群众救助和疫情防控等工作？拉直一个个问号，需要动员各方力量有效参与，需要助力专家和安能、国铁等抢险队伍各展其长，凝聚更强工作合力。做好防汛救灾工作，既要常怀警惕，又要保持信心。我国是世界上水情最为复杂、江河治理难度最大、治水任务最为繁重的国家之一。但近年来，我国防洪体系日益完善，堤防公里数、水库数量远超以往，山洪灾害群测群防体系、洪水预报预警系统等持续发力。今年以来，水利部公布全国726座大型水库大坝安全责任人名单，指导督促各地加快水毁防洪工程设施修复且修复率已达92%。防汛救灾能力更强，这是我们护江河安澜、保百姓平安的底气所在。“防汛救灾关系人民生命财产安全，关系粮食安全、经济安全、社会安全、国家安全。”各地区各部门始终坚持以人民为中心，发挥防灾减灾救灾体制改革优势，发扬万众一心、众志成城，不怕困难、顽强拼搏的精神，我们定能筑起防汛救灾的“铜墙铁壁”，共同守护美好家园。
确保夏粮收购顺利开展，不让农民吃亏,2023年05月09日12:43,近日，国家发展和改革委员会、国家粮食和物资储备局等六部门联合印发《关于切实做好2023年夏季粮油收购工作的通知》（以下简称《通知》），要求扎实做好2023年小麦、早籼稻、油菜籽等夏季粮油收购工作。确保夏粮收购各项工作顺利开展，为维护农民种粮收益增添了一层重要保障。手中有粮、心中不慌在任何时候都是真理。夏粮收购是全年粮食收购工作的首战，抓好夏粮收购是保障粮食稳定安全供给、全方位夯实粮食安全根基的重要举措，是维护粮食市场平稳运行、保护种粮农民利益的现实需要。数据显示，一季度，农业农村经济运行平稳，农业（种植业）增加值同比增长3.6%。冬小麦面积稳中有增，长势好于去年，春播进展总体顺利，夏粮丰收有了扎实基础，全年粮食稳产增产底气更足。不让种粮农民在经济上吃亏。农民是种粮的主体，是保障粮食安全的重要力量。近年来，随着种子、农药、化肥等农资价格的持续攀升，极大压缩了种粮利润空间。为降低农资价格上涨的影响，从4月开始，中央财政向实际种粮农民发放一次性补贴100亿元、小麦“一喷三防”补助资金16亿元……一系列“真金白银”的补贴举措，目的就是稳住种粮预期、鼓足种粮干劲，鼓励农民多种粮、种好粮，让种粮农民不吃亏、有钱赚，为确保粮食生产再获丰收注入强劲动能，夯实丰收底气。保障粮食安全，离不开亿万农民参与。让农民种粮有钱赚，粮食安全才有坚实的保障，必须充分保护和调动农民的种粮积极性，让农民丰收又增收。《通知》要求，在夏粮收购方面，要严格执行质价标准，不得压级压价、抬级抬价、拒收符合标准的粮食。这意味着，各级各部门需要明确责任分工，进一步做好粮食收购市场监管，严厉查处打击压级压价、拖欠粮款、坑农害农等违规违法行为，坚决维护粮农利益。同时，要紧贴农民售粮实际，创新服务方式，优化为农服务举措，帮助农民便捷安全售粮，卖“明白粮”“舒心粮”。对涉粮违纪违法行为“零容忍”。惟有严厉打击涉粮违法违规行为，方能切实保护种粮农民和粮食经营者合法权益。《通知》强调，要严肃查处未按规定告知、公示粮食收购价格，收购粮食压级压价，未及时支付售粮款，以及“虚假收购”“先收后转”“以陈顶新”“以次充好”“转圈粮”等违法违规行为，加强涉粮资金监管，强化警示震慑作用。各级各部门要早谋划、早部署、早行动、早落实，通过多点发力，盯住盯牢重点环节，采取有力措施压紧压实夏粮收储各方责任，持续跟进监督检查，及时纠治突出问题，保障粮食安全决策部署落地见效。保障农民卖粮无忧，保障粮食储备管理安全，全力夺取夏粮丰收，环环相扣、扣扣紧实。相关部门要拿出更具针对性、创新性举措，加强田间管理，打好政策组合拳，确保夏粮颗粒归仓，才能牢牢抓住粮食安全主动权，推动“中国号”航船行稳致远。
